Manufacturer Name,Model Name,Variant Name,Battery Type,Drive Type,Battery Capacity,Useable Capacity,Warranty Years,Warranty Kms,Official Range,Range Rating System,Real Range,Efficiency,Horsepower,Torque,0-100,Top speed,Weight,Fast Charging DC KW,10-80 time,v2l output kw AC,price (in lakhs),view_count
Tata,Nexon EV,Empowered Plus 45,LFP,FWD,45,43.5,8,160000,489,MIDC,263,171.1,142,215,8.9,150,1340,60,40,2.6,16.99,0
Tata,Curvv EV,Creative 45,LFP,FWD,45,43.5,8,160000,430,MIDC,275,163.64,147.5,215,9,160,1437,60,40,3.3,17.49,0
Tata,Curvv EV,Accomplished 45,LFP,FWD,45,43.5,8,160000,430,MIDC,275,163.64,147.5,215,9,160,1437,60,40,3.3,18.49,0
Tata,Curvv EV,Accomplished Plus S 45,LFP,FWD,45,43.5,8,160000,430,MIDC,275,163.64,147.5,215,9,160,1437,60,40,3.3,19.25,0
Tata,Curvv EV,Accomplished 55,LFP,FWD,55,53.3,8,160000,502,MIDC,330,166.67,165,215,8.6,160,1531,70,40,3.3,19.29,0
Tata,Curvv EV,Accomplished Plus S 55,LFP,FWD,55,53.3,8,160000,502,MIDC,330,166.67,165,215,8.6,160,1531,70,40,3.3,19.99,0
Tata,Curvv EV,Empowered Plus 55,LFP,FWD,55,53.3,8,160000,502,MIDC,330,166.67,165,215,8.6,160,1531,70,40,3.3,21.25,2000
Tata,Curvv EV,Empowered Plus A 55,LFP,FWD,55,53.3,8,160000,502,MIDC,330,166.67,165,215,8.6,160,1531,70,40,3.3,21.99,0
Volvo,EX40,Plus,NCM,RWD,70,67,8,160000,475,WLTP,360,194.44,234,420,7.3,180,2040,180,27,0,56.1,0
Volvo,C40 Recharge,E80,NCM,AWD,78,75,8,160000,530,WLTP,375,208,402,660,4.7,180,2185,149,31,0,62.95,0
